language,rank,repo,skill_count,stars,forks,commits,contributors
Go,78,aztfmod/terraform-provider-azurecaf,4,183,101,,
Go,79,cloudshipai/station,4,384,35,,
Go,80,dagger/dagger,4,15458,845,,
Go,81,epam/edp-keycloak-operator,4,71,31,,
Go,82,joelazar/kagi-skills,4,10,0,,
Go,83,kcaldas/genie,4,11,0,,
Go,84,securego/gosec,4,8696,685,,
Go,85,snyk/snyk-ls,4,75,15,,
Go,86,superplanehq/superplane,4,689,109,,
Go,87,towns-protocol/towns,4,66,62,,
Go,88,wordflowlab/agentsdk,4,12,2,,
Go,89,xmtp/xmtpd,4,55,44,,
Go,90,MitulShah1/openai-agents-go,3,33,2,,
Go,91,Roasbeef/claude-agent-sdk-go,3,13,4,,
Go,92,avivsinai/agent-message-queue,3,27,3,,
Go,93,avivsinai/bitbucket-cli,3,23,6,,
Go,94,avivsinai/jenkins-cli,3,25,3,,
Go,95,blueman82/conductor,3,39,2,,
Go,96,boolean-maybe/tiki,3,85,3,,
Go,97,engneer-hamachan/ruby-ti,3,65,2,,
Go,98,entireio/cli,3,3022,206,,
Go,99,gke-labs/gemini-for-kubernetes-development,3,10,17,,
Go,100,hay-kot/scaffold,3,154,21,,
Java,1,Hack23/cia,79,207,53,,
Java,2,bitsoex/bitso-java,45,36,30,,
Java,3,JetBrains/intellij-community,26,19741,5690,,
Java,4,aehrc/pathling,25,120,19,,
Java,5,alibaba/druid,20,28218,8612,,
Java,6,jabrena/cursor-rules-java,20,295,55,,
Java,7,osalvador/ReplicaDB,20,478,111,,
Java,8,fluxzero-io/fluxzero-sdk-java,18,13,1,,
Java,9,undsky/RuoYi-SpringBoot3-Pro,17,122,47,,
Java,10,datavane/tis,10,1282,276,,
Java,11,XiaoMi/mone,9,1152,179,,
Java,12,apache/beam,9,8497,4516,,
Java,13,dokimos-dev/dokimos,8,18,2,,
Java,14,microsoft/typespec,7,5601,341,,
Java,15,copilot-community-sdk/copilot-sdk-java,6,42,8,,
Java,16,entropy-cloud/nop-entropy,6,678,95,,
Java,17,ls1intum/Hephaestus,6,16,1,,
Java,18,pinpoint-apm/pinpoint,6,13808,3769,,
Java,19,spldeolin/allison1875,6,17,2,,
Java,20,spring-ai-alibaba/examples,6,2337,1014,,
Java,21,spring-ai-community/spring-ai-agent-utils,6,127,27,,
Java,22,whtoo/How_to_implment_PL_in_Antlr4,6,33,5,,
Java,23,Rainnny7/RESTfulMC,5,22,1,,
Java,24,cyberkaida/reverse-engineering-assistant,5,606,54,,
Java,25,sky-map-team/stardroid,5,1588,263,,
Java,26,a-pavithraa/springboot-skills-marketplace,4,13,1,,
Java,27,alibaba/spring-ai-alibaba,4,8459,1859,,
Java,28,eclipse-rdf4j/rdf4j,4,394,180,,
Java,29,itxaiohanglover/codestyle,4,14,1,,
Java,30,PlayersCommittee/gemp-swccg-public,3,30,35,,
Java,31,apache/shardingsphere,3,20685,6915,,
Java,32,dromara/Sa-Token,3,18630,2884,,
Java,33,dtprj/dongting,3,208,19,,
Java,34,duoec/duo-video,3,54,10,,
Java,35,kousen/claude-code-training,3,130,67,,
Java,36,langgraph4j/langgraph4j,3,1352,186,,
Java,37,microwind/design-patterns,3,91,19,,
Java,38,siy/coding-technology,3,12,3,,
Java,39,Azure/autorest.java,2,36,85,,
Java,40,DataDog/dd-trace-java,2,691,329,,
Java,41,IstiN/dmtools,2,33,13,,
Java,42,MorphiaOrg/morphia,2,1677,454,,
Java,43,Tahanima/playwright-java-test-automation-architecture,2,106,91,,
Java,44,agents-flex/agents-flex,2,1386,109,,
Java,45,apache/juneau,2,92,38,,
Java,46,devoxx/DevoxxGenieIDEAPlugin,2,621,81,,
Java,47,liftwizard/liftwizard,2,15,8,,
Java,48,mzmine/mzmine,2,259,156,,
Java,49,AnySoftKeyboard/AnySoftKeyboard,1,3241,904,,
Java,50,AxonFramework/AxonFramework,1,3552,831,,
Java,51,JetBrains/youtrackdb,1,128,9,,
Java,52,JohanBlome/encapp,1,25,17,,
Java,53,ZSPSTRIVE/SpringAI-langchain-StudyBot,1,39,6,,
Java,54,apache/fesod,1,5827,485,,
Java,55,apache/ignite-3,1,307,138,,
Java,56,cqframework/clinical-reasoning,1,45,39,,
Java,57,deltazefiro/Amarok-Hider,1,2853,96,,
Java,58,flutter/flutter-intellij,1,2016,336,,
Java,59,glowroot/glowroot,1,1323,332,,
Java,60,gravitee-io/gravitee-access-management,1,58,27,,
Java,61,itxaiohanglover/mcp-codestyle-server,1,44,2,,
Java,62,johannilsson/sthlmtraveling,1,114,37,,
Java,63,microsoft/playwright-java,1,1445,271,,
Java,64,naver/spring-jdbc-plus,1,292,34,,
Java,65,nchaugen/tabletest,1,20,0,,
Java,66,themixednuts/GhidraMCP,1,40,7,,
Java,67,wgzhao/Addax,1,1404,331,,
Java,68,xiaou61/Code-Nest,1,786,21,,
Java,69,zero-ws/zero-ecotope,1,22,4,,
JavaScript,1,a5c-ai/babysitter,2023,331,15,,
JavaScript,2,rmyndharis/antigravity-skills,305,417,78,,
JavaScript,3,github/awesome-copilot,297,22519,2585,,
JavaScript,4,affaan-m/everything-claude-code,191,51861,6427,,
JavaScript,5,xu-xiang/everything-claude-code-zh,185,50,5,,
JavaScript,6,profbernardoj/everclaw-community-branches,148,90,16,,
JavaScript,7,Community-Access/accessibility-agents,83,47,4,,
JavaScript,8,mohitmishra786/low-level-dev-skills,74,18,1,,
JavaScript,9,OpenClaudia/openclaudia-skills,56,121,1,,
JavaScript,10,dr-robert-li/cowork-wordpress-expert,54,15,1,,
JavaScript,11,bybren-llc/story-systems-template,48,14,3,,
JavaScript,12,sd0xdev/sd0x-dev-flow,45,39,4,,
JavaScript,13,pbakaus/impeccable,36,217,14,,
JavaScript,14,rohitg00/awesome-claude-code-toolkit,35,575,84,,
JavaScript,15,lintendo/Axhub-Make,34,20,6,,
JavaScript,16,shoootyou/get-shit-done-multi,34,12,1,,
JavaScript,17,BankrBot/claude-plugins,33,67,19,,
JavaScript,18,coreyhaines31/marketingskills,32,9306,1260,,
