rank,repo,python_all_labeled_skill_count,python_all_sdlc_skill_count,python_all_filtered_skill_count,python_all_unclassified_count,python_all_filter_agent_skill_count,python_all_filter_outside_scope_count,python_all_filter_wrong_language_count,skill_count,mainLanguage,stars,forks,commits,contributors
144,onukura/oss-sustain-guard,2,2,0,0,0,0,0,8,Python,18,0,337.0,3.0
145,bluesky/blop,1,1,0,0,0,0,0,8,Python,20,21,641.0,24.0
146,bvweerd/dynamic_energy_contract_calculator,1,1,0,0,0,0,0,8,Python,11,1,154.0,6.0
147,feiskyer/koder,1,1,0,0,0,0,0,8,Python,81,20,60.0,2.0
148,neurostuff/NiMARE,1,1,0,0,0,0,0,8,Python,208,62,1134.0,27.0
149,jerry609/PaperBot,2,0,2,0,2,0,0,8,Python,64,9,614.0,10.0
150,Bl4nk44/Audiovault,1,0,1,0,0,1,0,8,Python,10,1,302.0,4.0
151,byt3bl33d3r/figaro,1,0,1,0,1,0,0,8,Python,81,5,42.0,1.0
152,partarstu/agentic-qa-framework,1,0,1,0,1,0,0,8,Python,12,2,12.0,1.0
153,PrimeIntellect-ai/prime-rl,1,1,0,0,0,0,0,6,Python,1145,229,1684.0,54.0
154,hadrien/FastSQLA,1,1,0,0,0,0,0,6,Python,82,1,55.0,2.0
155,jkitchin/jaxsr,1,1,0,0,0,0,0,6,Python,33,1,88.0,2.0
156,microsoft/FeatureManagement-Python,1,1,0,0,0,0,0,6,Python,24,7,64.0,5.0
157,synapticore-io/marimo-flow,1,1,0,0,0,0,0,6,Python,11,1,113.0,4.0
158,castorini/ragnarok,1,0,1,0,1,0,0,6,Python,63,9,77.0,3.0
159,jackby03/agentic-collaboration-standard,1,1,0,0,0,0,0,4,Python,11,1,49.0,3.0
160,pear-studio/nonebot-dicepp,1,1,0,0,0,0,0,4,Python,33,11,159.0,3.0
161,wemake-services/django-modern-rest,1,1,0,0,0,0,0,4,Python,748,74,550.0,55.0
162,jlevy/flowmark,1,0,1,0,1,0,0,4,Python,57,7,234.0,5.0
163,johnhuang316/code-index-mcp,1,0,1,0,1,0,0,4,Python,829,101,200.0,15.0
164,justinlietz93/Perfect_Prompts,1,0,1,0,1,0,0,4,Python,18,1,220.0,2.0
165,ArtificialAnalysis/Stirrup,1,1,0,0,0,0,0,2,Python,325,31,46.0,5.0
166,Klavis-AI/klavis,1,1,0,0,0,0,0,2,Python,5663,539,1287.0,40.0
167,NVIDIA/nv-cloud-function-helpers,1,1,0,0,0,0,0,2,Python,18,8,62.0,8.0
168,Teslemetry/hass-teslemetry,1,1,0,0,0,0,0,2,Python,17,8,104750.0,5158.0
169,erigontech/erigon-snapshot,1,1,0,0,0,0,0,2,Python,44,26,972.0,21.0
170,linkml/linkml,1,1,0,0,0,0,0,2,Python,480,156,4253.0,109.0
171,phi-friday/joblib-stubs,1,1,0,0,0,0,0,2,Python,10,1,189.0,2.0
172,piercelamb/deep-plan,1,1,0,0,0,0,0,2,Python,43,8,21.0,1.0
173,pytorch/tutorials,1,1,0,0,0,0,0,2,Python,9072,4368,2842.0,771.0
174,taylorai/lm-deluge,1,1,0,0,0,0,0,2,Python,49,2,614.0,2.0
175,tpvasconcelos/ridgeplot,1,1,0,0,0,0,0,2,Python,239,9,1293.0,4.0
176,amun-ai/hypha,1,0,1,0,1,0,0,2,Python,22,14,1751.0,15.0
177,harbor-framework/harbor,1,0,1,0,1,0,0,2,Python,991,760,617.0,133.0
178,Snowflake-Labs/polaris-local-forge,1,1,0,0,0,0,0,1,Python,16,3,69.0,2.0
179,rokoss21/swarm-iosm,1,1,0,0,0,0,0,1,Python,33,4,12.0,2.0
180,SamMorrowDrums/remarkable-mcp,1,0,1,0,1,0,0,1,Python,75,14,158.0,3.0
181,TurixAI/TuriX-CUA,1,0,1,0,1,0,0,1,Python,1533,166,188.0,4.0
182,seojoonkim/prompt-guard,1,0,1,0,1,0,0,1,Python,125,23,74.0,9.0
