rank,repo,skill_count,mainLanguage,stars,forks,commits,contributors
268,mikeyobrien/ralph-orchestrator,17,Rust,1913,198,,
269,nanorepublica/django-prodserver,17,Python,52,3,,
270,ahaodev/heji,17,TypeScript,55,15,,
271,vultisig/vultisig-windows,17,TypeScript,13,13,,
272,undsky/RuoYi-SpringBoot3-Pro,17,Java,122,47,,
273,hirotaka/pragmatic-nuxt,17,TypeScript,154,12,,
274,Soju06/codex-lb,17,Python,100,19,,
275,prime-radiant-inc/serf,17,Go,11,0,,
276,adamfilli/happy-simulator,17,Python,11,0,,
277,nanorepublica/django-deadcode,17,Python,40,1,,
278,nrwl/nx,17,TypeScript,28205,2672,,
279,darrenhinde/OpenAgentsControl,17,TypeScript,2216,204,,
280,bolivian-peru/os-moda,17,Rust,62,8,,
281,NASA-AMMOS/slim,17,JavaScript,31,14,,
282,bytedance/deer-flow,17,TypeScript,20291,2550,,
283,jordanhubbard/loom,17,Go,84,9,,
284,Qredence/fleet-rlm,17,Python,21,2,,
285,elbwalker/walkerOS,17,TypeScript,325,16,,
286,Xerus-ai/openwork,16,TypeScript,28,1,,
287,UnicomAI/wanwu,16,Go,4105,72,,
288,ntk148v/clicklens,16,TypeScript,12,3,,
289,atopile/atopile,16,Python,3081,168,,
290,verekia/r3f-gamedev,16,TypeScript,26,0,,
291,reactive/data-client,16,TypeScript,2024,98,,
292,BulloRosso/etienne,16,TypeScript,13,2,,
293,aiyuekuang/LLMProxy,16,Go,10,2,,
294,canonical/copilot-collections,16,Python,10,8,,
295,opendatahub-io/ai-helpers,16,Python,15,26,,
296,forcedotcom/salesforcedx-vscode,16,TypeScript,994,432,,
297,MoomFE/mixte,16,TypeScript,18,2,,
298,Mulily0513/Omni,16,Python,14,1,,
299,zard-ui/zardui,16,TypeScript,870,76,,
300,hoangsonww/AI-Gov-Content-Curator,16,TypeScript,23,11,,
301,daangn/seed-design,16,TypeScript,830,41,,
302,indexedlabs/pydantic-ai-gepa,16,Python,22,5,,
303,hyperlane-xyz/hyperlane-monorepo,16,TypeScript,49,555,,
304,jongwony/epistemic-protocols,16,JavaScript,46,4,,
305,chrispangg/deepagentsdk,16,TypeScript,97,9,,
306,barretstorck/gemini-superpowers,15,TypeScript,21,2,,
307,adobe/helix-website,15,JavaScript,38,55,,
308,MiniMax-AI/Mini-Agent,15,Python,1677,254,,
309,pdovhomilja/nextcrm-app,15,TypeScript,540,173,,
310,AztecProtocol/aztec-packages,15,C++,424,590,,
311,badlogic/pi-mono,15,TypeScript,16380,1720,,
312,Project-N-E-K-O/N.E.K.O,15,JavaScript,683,94,,
313,vicanso/zedis,15,Rust,1695,38,,
314,coollabsio/coolify,15,PHP,51056,3684,,
315,Blazemeter/bzm-mcp,15,Python,24,4,,
316,vaayne/agent-kit,15,TypeScript,29,1,,
317,kaptinlin/gozod,15,Go,18,1,,
318,keep-starknet-strange/starknet-agentic,15,TypeScript,70,18,,
319,bnomei/kirby-mcp,15,PHP,36,1,,
320,fabriqaai/specs.md,15,TypeScript,65,7,,
321,Qredence/agentic-fleet,15,Python,92,10,,
322,swarm-ai-safety/swarm,14,Python,11,2,,
323,ThinkInAIXYZ/deepchat,14,TypeScript,5523,636,,
324,t0dorakis/murmur,14,TypeScript,17,0,,
325,Automattic/wordpress-activitypub,14,PHP,561,85,,
326,dlt-hub/dlt,14,Python,4951,459,,
327,doomclouds/LightRAGNet,14,C#,10,3,,
328,UKGovernmentBEIS/inspect_evals,14,Python,380,262,,
329,abdullah1854/MCPGateway,14,TypeScript,12,2,,
330,zylos-ai/zylos-core,14,JavaScript,805,79,,
331,kalbasit/ncps,14,Go,271,11,,
332,OthmanAdi/planning-with-files,14,Python,14533,1343,,
333,Opentrons/opentrons,14,Python,491,194,,
334,remorses/kimaki,14,TypeScript,505,26,,
335,terrorproforma/GradientOS,14,Python,18,3,,
336,aymericzip/intlayer,14,TypeScript,603,102,,
337,ArvorCo/Relentless,14,TypeScript,84,5,,
338,goldengrape/Agent-company,14,Python,35,4,,
339,umputun/cc-thingz,14,Python,100,5,,
340,pollinations/pollinations,14,TypeScript,4042,647,,
341,roborev-dev/roborev,14,Go,605,55,,
342,tradingstrategy-ai/web3-ethereum-defi,14,Python,775,176,,
343,iOfficeAI/AionUi,14,TypeScript,17060,1292,,
344,volcengine/OpenViking,14,Python,3835,294,,
345,atilladeniz/Kubeli,14,TypeScript,237,20,,
346,mitkox/ai-coding-factory,13,C#,134,52,,
347,hao-ai-lab/research-agent,13,TypeScript,12,2,,
348,vishalsachdev/canvas-mcp,13,Python,61,26,,
349,namastexlabs/automagik-genie,13,TypeScript,208,32,,
350,dojoengine/book,13,TypeScript,53,95,,
351,artemiv4nov/fabricator,13,Python,10,0,,
352,krafton-ai/KIRA,13,Python,639,93,,
353,can1357/oh-my-pi,13,TypeScript,1336,97,,
354,joa23/linear-cli,13,Go,82,9,,
355,dotnet/maui,13,C#,23188,1914,,
356,jewbetcha/opentrace,13,TypeScript,26,1,,
357,taurgis/has-marstek-local-api,13,Python,10,3,,
358,hoangsonww/EstateWise-Chapel-Hill-Chatbot,13,TypeScript,22,16,,
359,pymc-labs/pymc-marketing,13,Python,1061,372,,
360,different-ai/openwork,13,TypeScript,10414,920,,
361,inclusionAI/AReaL,13,Python,3573,299,,
362,microsoft/vscode,12,TypeScript,182066,38137,,
363,frmlabz/frm-stack,12,TypeScript,26,3,,
364,sorryhyun/DiPeO,12,Python,12,2,,
365,dotnet/aspire,12,C#,5467,811,,
366,byteowlz/oqto,12,Rust,25,1,,
367,nwiizo/cargo-coupling,12,Rust,66,2,,
368,block/goosetown,12,JavaScript,40,5,,
369,openai/openai-agents-js,12,TypeScript,2341,617,,
370,pacaplan/agent-gauntlet,12,TypeScript,13,0,,
371,QuixiAI/Hexis,12,Python,546,73,,
372,doodledood/manifest-dev,12,Python,57,7,,
373,necatiarslan/airflow-vscode-extension,12,TypeScript,42,1,,
374,EnactProtocol/enact,12,TypeScript,17,3,,
375,DoIT-Artificial-Intelligence/youtube-to-docs,12,Python,30,3,,
376,intertwine/hive-orchestrator,12,Python,14,2,,
377,OriNachum/autonomous-intelligence,12,Python,214,15,,
378,gaearon/woodshed,12,TypeScript,62,0,,
379,ReinforceNow/reinforcenow-cli,12,Python,88,2,,
380,GeoloeG-IsT/agents-reverse-engineer,12,TypeScript,10,3,,
381,mono/SkiaSharp,12,C#,5273,613,,
382,alamenai/terrae,12,TypeScript,178,2,,
383,minorun365/marp-agent,12,TypeScript,57,16,,
384,crafter-station/elements,12,TypeScript,392,21,,
385,mhawthorne/gza,12,Python,10,1,,
386,prebid/salesagent,12,Python,20,22,,
387,ikemtz/AngularMonoRepo,12,TypeScript,11,4,,
388,coctostan/pi-superpowers-plus,12,TypeScript,13,1,,
