rank,scripts_file_count,repo,mainLanguage,stars,forks,commits,contributors
889,0,Ratler/dream-team,JavaScript,14,2,49.0,1.0
890,0,RealEstateWebTools/property_web_scraper,TypeScript,109,23,458.0,6.0
891,0,Red-Hat-AI-Innovation-Team/sdg_hub,JavaScript,122,51,330.0,28.0
892,0,Red-Hat-AI-Innovation-Team/training_hub,Python,65,22,95.0,7.0
893,0,RedHat-UX/next-gen-ui-agent,Python,14,4,329.0,10.0
894,0,Redth/Maui.Gtk,C#,85,2,149.0,1.0
895,0,Redth/MauiDevFlow,C#,43,8,221.0,6.0
896,0,ReinforceNow/reinforcenow-cli,Python,109,2,186.0,1.0
897,0,RemarkRemedy/fireplanner,TypeScript,25,4,1007.0,1.0
898,0,Remy349/shadcn-ui-multi-form,TypeScript,58,3,405.0,1.0
899,0,RevylAI/greenlight,Go,1252,83,6.0,4.0
900,0,RicherTunes/Brainarr,C#,32,0,1005.0,6.0
901,0,RickConsole/hydra,TypeScript,15,2,141.0,15.0
902,0,Rika-Labs/sgrep,Rust,39,2,213.0,3.0
903,0,RipeSeed/rs-tunnel,TypeScript,12,2,22.0,2.0
904,0,RoloBits/nestjs-doctor,TypeScript,69,0,211.0,2.0
905,0,RonkTsang/gemini-chat-extension,TypeScript,13,3,63.0,2.0
906,0,RooCodeInc/Roo-Code,TypeScript,22669,2906,7035.0,297.0
907,0,RtlZeroMemory/Rezi,TypeScript,546,14,648.0,3.0
908,0,RtlZeroMemory/Zireael,C,36,3,114.0,2.0
909,0,Rune-kit/rune,JavaScript,35,12,6.0,1.0
910,0,Ruya-AI/cozempic,Python,154,6,57.0,5.0
911,0,RyanWangZf/BioDSA,Python,49,5,97.0,1.0
912,0,Ryandonofrio3/osgrep,TypeScript,1081,68,364.0,14.0
913,0,S1LV4/th0th,TypeScript,123,20,67.0,4.0
914,0,SAP/e-mobility-charging-stations-simulator,TypeScript,208,89,5589.0,25.0
915,0,SAP/fundamental-ngx,TypeScript,290,140,9799.0,109.0
916,0,SAP/spartacus,TypeScript,775,404,10860.0,195.0
917,0,SCStelz/security-investigator,Python,52,19,113.0,3.0
918,0,SGFGOV/medusa-mcp,TypeScript,51,18,28.0,2.0
919,0,SIRHAMY/light-clone,Rust,10,0,73.0,1.0
920,0,SRSWTI/axe,Python,28,4,32.0,1.0
921,0,SSShooter/ebook-to-mindmap,TypeScript,1104,138,163.0,2.0
922,0,SSShooter/mind-elixir-core,TypeScript,2968,397,967.0,35.0
923,0,Sage-Bionetworks/sage-monorepo,TypeScript,27,16,2256.0,11.0
924,0,Sage/carbon,TypeScript,297,87,26194.0,187.0
925,0,Saik0s/mcp-browser-use,Python,913,111,102.0,7.0
926,0,Salesably/salesably-marketplace,Python,19,4,14.0,1.0
927,0,SamJHudson01/Carmack-Council,Python,19,1,19.0,1.0
