rank,references_file_count,repo,mainLanguage,stars,forks,commits,contributors
360,9,vicanso/zedis,Rust,1726,39,346.0,1.0
361,9,zerx-lab/rmx,Rust,36,0,59.0,2.0
362,9,zhuanggenhua/BoardGame,TypeScript,12,4,312.0,3.0
363,8,708u/twig,Go,20,0,406.0,1.0
364,8,Flexasaurusrex/OpenPaw,TypeScript,12,0,14274.0,800.0
365,8,OpenBB-finance/backends-for-openbb,Python,159,48,371.0,10.0
366,8,Sage/carbon,TypeScript,297,87,26194.0,187.0
367,8,SudoMaker/rEFui,JavaScript,83,2,543.0,1.0
368,8,TanStack/cli,TypeScript,1211,152,926.0,89.0
369,8,TencentCloudBase/CloudBase-MCP,TypeScript,973,121,930.0,11.0
370,8,Zhen-Bo/pragmatic-clean-code-reviewer,Python,101,8,4.0,1.0
371,8,atlassian/atlassian-mcp-server,JavaScript,437,44,69.0,12.0
372,8,codemie-ai/codemie-code,TypeScript,162,32,233.0,19.0
373,8,codemo1991/nanobot-webui,Python,21,7,59.0,2.0
374,8,davidromeo/tradeblocks,TypeScript,34,17,1270.0,7.0
375,8,dotnet/aspnetcore,C#,37777,10602,55993.0,1553.0
376,8,dotnet/extensions,C#,3126,858,2462.0,134.0
377,8,dotnet/sdk,C#,3070,1217,112073.0,979.0
378,8,emlopezr/trackwatch,TypeScript,15,0,324.0,3.0
379,8,gitarbor/gitarbor-tui,TypeScript,37,3,149.0,1.0
380,8,gmo-internet/conoha_vps_mcp,TypeScript,22,5,450.0,4.0
381,8,hexianWeb/Third-Person-MC,JavaScript,45,9,289.0,4.0
382,8,holon-run/holon,Go,78,6,472.0,4.0
383,8,huangrt01/CS-Notes,Python,3947,484,819.0,4.0
384,8,iurysza/android-use,TypeScript,12,1,29.0,1.0
385,8,kreuzberg-dev/kreuzberg,Rust,6704,318,3821.0,27.0
386,8,kv0906/pm-kit,Python,68,16,102.0,1.0
387,8,lbliii/bengal,Python,34,1,3272.0,4.0
388,8,microwind/design-patterns,Java,101,21,300.0,3.0
389,8,nemmtor/ts-databuilders,TypeScript,12,0,341.0,3.0
390,8,nold-ai/specfact-cli,Python,13,1,338.0,3.0
391,8,nuxt-content/docus,TypeScript,2655,247,1417.0,73.0
392,8,paralleldrive/aidd,JavaScript,292,21,240.0,8.0
393,8,piercelamb/deep-implement,Python,15,4,26.0,1.0
394,8,piercelamb/deep-plan,Python,43,8,21.0,1.0
395,8,quiet-circles/hyperlocalise,Go,13,2,147.0,3.0
396,8,rubiojr/rugo,Go,22,1,469.0,1.0
397,8,saffron-health/opencode-gui,TypeScript,22,9,138.0,1.0
398,8,seiggy/lucia-dotnet,C#,38,5,214.0,3.0
399,8,taurgis/has-marstek-local-api,Python,12,3,175.0,2.0
400,8,terrorproforma/GradientOS,Python,18,4,138.0,3.0
401,7,Agents2AgentsAI/ata,Rust,67,3,4843.0,374.0
402,7,BuildGreatProducts/plaid,JavaScript,17,3,33.0,2.0
403,7,BulloRosso/etienne,TypeScript,16,2,409.0,2.0
404,7,FishPiOffical/tiaoom,TypeScript,17,13,455.0,7.0
405,7,GoPlausible/algorand-mcp,TypeScript,41,18,239.0,2.0
406,7,HugoRCD/evlog,TypeScript,823,24,299.0,19.0
407,7,KashyapTan/Xpdite,Python,11,3,216.0,1.0
408,7,Redth/Maui.Gtk,C#,85,2,149.0,1.0
409,7,Redth/MauiDevFlow,C#,43,8,221.0,6.0
